City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,81.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
5,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
12,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Kousseri,CM,86.34,broken clouds,12.0769,15.0306,Le Pilotis
16,Anahuac,MX,81.81,overcast clouds,27.2333,-100.15,HOTEL SAN FELIPE
22,Nabire,ID,79.81,broken clouds,-3.3667,135.4833,Hotel Nusantara I
24,Puerto Ayora,EC,79.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Makasar,ID,75.25,few clouds,-5.14,119.4221,Aryaduta Makassar
36,Tabou,CI,78.33,light rain,4.423,-7.3528,hotêl doufoulougou
37,Santa Rosa,PH,80.02,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
43,Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
47,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
48,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
52,Mayumba,GA,77.13,overcast clouds,-3.432,10.6554,LIKWALE LODGE
55,Palu,ID,76.12,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
56,Padang,ID,75.96,scattered clouds,-0.9492,100.3543,Mercure Padang
58,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
60,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
63,Souillac,MU,76.91,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
64,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
67,Faanui,PF,82.06,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Caraballeda,VE,86.07,few clouds,10.6112,-66.8522,Hotel 15 Letras
75,Sao Jose Da Coroa Grande,BR,78.69,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
76,Buala,SB,82.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
88,Marsh Harbour,BS,77.61,clear sky,26.5412,-77.0636,Abaco Beach Resort
97,Hiriyur,IN,77.11,few clouds,13.9456,76.6192,S S ROOMS AND HOTEL
101,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
