City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Norman Wells,CA,65.282,-126.8329,3.67,81,100,4.05,overcast clouds
1,Aklavik,CA,68.2191,-135.0107,-5.98,84,98,3.24,overcast clouds
2,Butaritari,KI,3.0707,172.7902,81.55,78,61,16.06,broken clouds
3,Lasa,IT,46.6166,10.7002,27.7,94,95,6.44,overcast clouds
4,Burnie,AU,-41.0667,145.9167,55.92,62,73,8.59,broken clouds
5,Kahului,US,20.8947,-156.47,82.42,67,40,19.57,scattered clouds
6,Jamestown,US,42.097,-79.2353,42.03,54,0,4.61,clear sky
7,Bluff,NZ,-46.6,168.3333,58.33,71,86,19.75,overcast clouds
8,Airai,TL,-8.9266,125.4092,61.84,64,55,1.34,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,74.71,56,12,5.3,few clouds
10,Qaanaaq,GL,77.484,-69.3632,9.03,80,77,6.51,broken clouds
11,Tasiilaq,GL,65.6145,-37.6368,26.76,94,100,21.05,snow
12,Kapaa,US,22.0752,-159.319,78.78,74,100,23.02,overcast clouds
13,Kousseri,CM,12.0769,15.0306,86.34,17,64,11.41,broken clouds
14,Dombarovskiy,RU,50.7587,59.5386,36.68,89,100,8.63,overcast clouds
15,Punta Alta,AR,-38.8759,-62.0736,65.98,49,0,16.91,clear sky
16,Anahuac,MX,27.2333,-100.15,81.81,53,92,1.7,overcast clouds
17,Busselton,AU,-33.65,115.3333,68.11,93,80,11.25,broken clouds
18,Ushuaia,AR,-54.8,-68.3,40.3,96,99,2.46,overcast clouds
19,Cape Town,ZA,-33.9258,18.4232,63.1,74,0,7.0,clear sky
20,Mar Del Plata,AR,-38.0023,-57.5575,63.88,70,0,23.0,clear sky
21,Chokurdakh,RU,70.6333,147.9167,0.99,92,100,4.74,overcast clouds
22,Nabire,ID,-3.3667,135.4833,79.81,70,67,3.31,broken clouds
23,Mataura,NZ,-46.1927,168.8643,59.34,66,64,5.26,broken clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,79.56,93,48,1.01,scattered clouds
25,Goderich,CA,43.7501,-81.7165,38.91,67,100,1.34,overcast clouds
26,Hobart,AU,-42.8794,147.3294,57.25,81,100,6.91,overcast clouds
27,Makasar,ID,-5.14,119.4221,75.25,100,20,2.3,few clouds
28,Punta Arenas,CL,-53.15,-70.9167,46.11,70,40,10.36,scattered clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,-8.12,89,100,6.78,overcast clouds
30,Albany,US,42.6001,-73.9662,46.76,39,40,1.99,scattered clouds
31,Jackson,US,42.4165,-122.8345,66.07,23,0,3.44,clear sky
32,Gravdal,NO,68.1214,13.5031,31.93,69,100,26.51,light snow
33,Cherskiy,RU,68.75,161.3,-2.6,87,86,2.46,overcast clouds
34,Longyearbyen,SJ,78.2186,15.6401,1.24,78,20,11.5,few clouds
35,Hofn,IS,64.2539,-15.2082,43.11,74,100,6.91,moderate rain
36,Tabou,CI,4.423,-7.3528,78.33,89,100,9.57,light rain
37,Santa Rosa,PH,14.3122,121.1114,80.02,73,42,11.74,scattered clouds
38,Hermanus,ZA,-34.4187,19.2345,61.81,78,92,16.33,overcast clouds
39,Cidreira,BR,-30.1811,-50.2056,70.48,76,2,18.1,clear sky
40,Lopsmarka,NO,67.3134,14.4493,30.79,84,75,19.57,light snow
41,Mingguang,CN,32.7802,117.9638,46.85,65,1,5.59,clear sky
42,Pevek,RU,69.7008,170.3133,-2.87,92,99,2.06,overcast clouds
43,Port Hedland,AU,-20.3167,118.5667,78.85,78,69,3.44,broken clouds
